idResultado,matriculaAlumno,matriculaProfesor,idMateria,idNivel,idTiempo,empleoAlumno,empleoProfesor,calificacionMateriaAlumno,categoriaEvaluacionProfesor
1,2019010101,1997096584,1001,101,7,0,0,9,1
2,2019010101,1997096584,1001,101,8,0,0,8,2
3,2019010101,1997096584,1001,101,9,0,0,9,1
4,2019010101,2003096586,1002,101,7,0,1,6,1
5,2019010101,2003096586,1002,101,8,0,1,8,1
6,2019010101,2003096586,1002,101,9,0,1,6,2
7,2019010101,1997096584,1003,101,7,0,0,8,4
8,2019010101,1997096584,1003,101,8,0,0,9,3
9,2019010101,1997096584,1003,101,9,0,0,7,1
10,2019010101,1997096584,1004,101,7,0,0,9,2
11,2019010101,1997096584,1004,101,8,0,0,7,3
12,2019010101,1997096584,1004,101,9,0,0,9,3
13,2019010101,1997096584,1005,101,7,0,0,9,1
14,2019010101,1997096584,1005,101,8,0,0,9,1
15,2019010101,1997096584,1005,101,9,0,0,9,1
16,2019010101,2003096586,1006,101,7,0,1,6,2
17,2019010101,2003096586,1006,101,8,0,1,6,1
18,2019010101,2003096586,1006,101,9,0,1,8,1
19,2019010101,2003096586,1007,101,7,0,1,8,1
20,2019010101,2003096586,1007,101,8,0,1,7,1
21,2019010101,2003096586,1007,101,9,0,1,10,2
22,2019010101,2003096586,1008,101,7,0,1,6,2
23,2019010101,2003096586,1008,101,8,0,1,10,2
24,2019010101,2003096586,1008,101,9,0,1,8,1
25,2019010101,2000096585,1009,101,7,0,1,10,1
26,2019010101,2000096585,1009,101,8,0,1,8,2
27,2019010101,2000096585,1009,101,9,0,1,7,2
28,2019010101,2000096581,2001,102,10,0,0,9,4
29,2019010101,2000096581,2001,102,11,0,0,10,4
30,2019010101,2000096581,2001,102,12,0,0,8,4
31,2019010101,2003096582,2002,102,10,0,0,6,2
32,2019010101,2003096582,2002,102,11,0,0,10,1
33,2019010101,2003096582,2002,102,12,0,0,8,3
34,2019010101,2003096582,2003,102,10,0,0,8,4
35,2019010101,2003096582,2003,102,11,0,0,6,1
36,2019010101,2003096582,2003,102,12,0,0,8,2
37,2019010101,2000096581,2004,102,10,0,0,8,2
38,2019010101,2000096581,2004,102,11,0,0,9,3
39,2019010101,2000096581,2004,102,12,0,0,6,1
40,2019010101,2003096582,2005,102,10,0,0,7,4
41,2019010101,2003096582,2005,102,11,0,0,6,4
42,2019010101,2003096582,2005,102,12,0,0,8,1
43,2019010101,2003096582,2006,102,10,0,0,10,1
44,2019010101,2003096582,2006,102,11,0,0,10,4
45,2019010101,2003096582,2006,102,12,0,0,9,1
46,2019010101,2003096582,2007,102,10,0,0,7,2
47,2019010101,2003096582,2007,102,11,0,0,7,3
48,2019010101,2003096582,2007,102,12,0,0,6,4
49,2019010101,2003096582,2008,102,10,0,0,8,3
50,2019010101,2003096582,2008,102,11,0,0,8,3
51,2019010101,2003096582,2008,102,12,0,0,9,1
52,2019010101,2003096583,2009,102,10,0,1,10,2
53,2019010101,2003096583,2009,102,11,0,1,6,1
54,2019010101,2003096583,2009,102,12,0,1,10,2
55,2019010101,1997096580,3001,203,13,0,1,7,2
56,2019010101,1997096580,3001,203,14,0,1,6,1
57,2019010101,1997096580,3001,203,15,0,1,10,2
58,2019010101,1997096580,3002,203,13,0,1,9,1
59,2019010101,1997096580,3002,203,14,0,1,6,2
60,2019010101,1997096580,3002,203,15,0,1,7,2
61,2019010101,1997096580,3003,203,13,0,1,7,2
62,2019010101,1997096580,3003,203,14,0,1,9,1
63,2019010101,1997096580,3003,203,15,0,1,8,1
64,2019010101,1999096579,3004,203,13,0,0,9,4
65,2019010101,1999096579,3004,203,14,0,0,6,1
66,2019010101,1999096579,3004,203,15,0,0,10,4
67,2019010101,2003096578,3005,203,13,0,0,6,4
68,2019010101,2003096578,3005,203,14,0,0,10,4
69,2019010101,2003096578,3005,203,15,0,0,8,4
70,2019010101,1997096580,3006,203,13,0,1,6,2
71,2019010101,1997096580,3006,203,14,0,1,9,2
72,2019010101,1997096580,3006,203,15,0,1,6,1
73,2019010101,2003096578,3007,203,13,0,0,6,1
74,2019010101,2003096578,3007,203,14,0,0,10,2
75,2019010101,2003096578,3007,203,15,0,0,6,3
76,2019010101,1997096580,3008,203,13,0,1,9,2
77,2019010101,1997096580,3008,203,14,0,1,7,2
78,2019010101,1997096580,3008,203,15,0,1,7,2
79,2019010101,1997096580,3009,203,13,0,1,7,2
80,2019010101,1997096580,3009,203,14,0,1,9,2
81,2019010101,1997096580,3009,203,15,0,1,8,2
82,2019010101,1997096580,3010,203,13,0,1,10,1
83,2019010101,1997096580,3010,203,14,0,1,7,2
84,2019010101,1997096580,3010,203,15,0,1,8,2
85,2019010101,2005096577,4001,204,16,0,1,9,1
86,2019010101,2005096577,4001,204,17,0,1,10,2
87,2019010101,2005096577,4001,204,18,0,1,6,1
88,2019010101,2005096577,4002,204,16,0,1,8,2
89,2019010101,2005096577,4002,204,17,0,1,7,1
90,2019010101,2005096577,4002,204,18,0,1,9,2
91,2019010101,2005096577,4003,204,16,0,1,8,1
92,2019010101,2005096577,4003,204,17,0,1,9,1
93,2019010101,2005096577,4003,204,18,0,1,8,2
94,2019010101,2005096577,4004,204,16,0,1,10,1
95,2019010101,2005096577,4004,204,17,0,1,6,2
96,2019010101,2005096577,4004,204,18,0,1,6,1
97,2019010101,2005096576,4005,204,16,0,0,10,3
98,2019010101,2005096576,4005,204,17,0,0,9,2
99,2019010101,2005096576,4005,204,18,0,0,10,2
100,2019010101,2000096575,4006,204,16,0,0,6,1
101,2019010101,2000096575,4006,204,17,0,0,8,4
102,2019010101,2000096575,4006,204,18,0,0,8,1
103,2019010101,2005096576,4007,204,16,0,0,7,4
104,2019010101,2005096576,4007,204,17,0,0,8,2
105,2019010101,2005096576,4007,204,18,0,0,10,4
106,2019010101,2000096575,4008,204,16,0,0,6,1
107,2019010101,2000096575,4008,204,17,0,0,10,4
108,2019010101,2000096575,4008,204,18,0,0,7,2
109,2019010101,2005096576,4009,204,16,0,0,8,2
110,2019010101,2005096576,4009,204,17,0,0,8,2
111,2019010101,2005096576,4009,204,18,0,0,9,2
112,2019010101,2005096576,4010,204,16,0,0,8,2
113,2019010101,2005096576,4010,204,17,0,0,8,4
114,2019010101,2005096576,4010,204,18,0,0,10,4
115,2019010101,1988096573,5001,205,19,0,0,10,3
116,2019010101,1988096573,5001,205,20,0,0,8,3
117,2019010101,1988096573,5001,205,21,0,0,10,1
118,2019010101,1992096572,5002,205,19,0,1,9,1
119,2019010101,1992096572,5002,205,20,0,1,9,2
120,2019010101,1992096572,5002,205,21,0,1,10,2
121,2019010101,1988096573,5003,205,19,0,0,7,3
122,2019010101,1988096573,5003,205,20,0,0,7,3
123,2019010101,1988096573,5003,205,21,0,0,6,4
124,2019010101,1988096573,5004,205,19,0,0,6,2
125,2019010101,1988096573,5004,205,20,0,0,7,4
126,2019010101,1988096573,5004,205,21,0,0,6,4
127,2019010101,2002096574,5005,205,19,0,1,6,1
128,2019010101,2002096574,5005,205,20,0,1,6,2
129,2019010101,2002096574,5005,205,21,0,1,8,1
130,2019010101,1988096573,5006,205,19,0,0,6,2
131,2019010101,1988096573,5006,205,20,0,0,6,1
132,2019010101,1988096573,5006,205,21,0,0,9,1
133,2019010101,1992096572,5007,205,19,0,1,7,2
134,2019010101,1992096572,5007,205,20,0,1,10,2
135,2019010101,1992096572,5007,205,21,0,1,6,1
136,2019010101,1988096573,5008,205,19,0,0,9,2
137,2019010101,1988096573,5008,205,20,0,0,6,4
138,2019010101,1988096573,5008,205,21,0,0,6,2
139,2019010101,1988096573,5009,205,19,0,0,6,2
140,2019010101,1988096573,5009,205,20,0,0,6,1
141,2019010101,1988096573,5009,205,21,0,0,8,3
142,2019010101,1988096573,5010,205,19,0,0,6,1
143,2019010101,1988096573,5010,205,20,0,0,6,4
144,2019010101,1988096573,5010,205,21,0,0,8,2
145,2019010101,1990096567,6001,206,22,0,0,7,4
146,2019010101,1990096567,6001,206,23,0,0,10,3
147,2019010101,1990096567,6001,206,24,0,0,10,3
148,2019010101,1999096570,6002,206,22,0,1,10,1
149,2019010101,1999096570,6002,206,23,0,1,8,1
150,2019010101,1999096570,6002,206,24,0,1,8,1
151,2019010101,1987096571,6003,206,22,0,0,7,3
