"ASOCIACION","ACTIVIDAD","SUBVENCION EN EUROS"
"AMPA ANTONIO MACHADO","PARTICIPACION MUSICAL CINDERELLA","396.35"
"AMPA ANTONIO MACHADO","TALLER DIA DEL PADRE","40.33"
"AMPA ANTONIO MACHADO","TALLER DIA DE LA MADRE","53.2"
"AMPA ANTONIO MACHADO","FIESTA FIN DE CURSO","1010"
"AMPA ANTONIO MACHADO","FAPA ALCOBENDAS","80"
"AMPA ANTONIO MACHADO","FAPA GINER DE LOS RIOS","173.5"
"AMPA ANTONIO MACHADO","HALLOWEEN","183.2"
"AMPA ANTONIO MACHADO","SAN ISIDRO","180"
"AMPA ANTONIO MACHADO","FIESTA DE NAVIDAD","540"
"AMPA BACHILLER ALONSO LOPEZ","CIENCIAS MANIPULATIVAS","487"
"AMPA BACHILLER ALONSO LOPEZ","BILINGUISMO","400"
"AMPA BACHILLER ALONSO LOPEZ","EXCURSIONES PRIMARIA","237"
"AMPA BACHILLER ALONSO LOPEZ","FIESTA FIN DE CURSO","616"
"AMPA BACHILLER ALONSO LOPEZ","REVISTA COLEGIO ENTRETIZAS","200"
"AMPA BACHILLER ALONSO LOPEZ","CELEBRACION 10 ANIVERSARIO AMPA","360"
"AMPA CASTILLA","CONCURSO TARJETAS NAVIDEÑAS","100"
"AMPA CASTILLA","TALLER SOBRE EL ACOSO ESCOLAR","136"
"AMPA CASTILLA","FIESTA FIN DE CURSO","768"
"AMPA CASTILLA","JORNADA INTERCULTURAL","356"
"AMPA CASTILLA","PROPUESTA DE ACTIV EXTRAESCOLARES, INSCRIPCIONES, INTERCAMBIO LIBROS","128"
"AMPA CASTILLA","FEDERACION","64"
"AMPA CASTILLA","FIESTA REYES MAGOS","392"
"AMPA CASTILLA","CHOCOLATADA","336"
"AMPA CASTILLA","SAN ISIDRO","192"
"AMPA CASTILLA","HALLOWEEN","136"
"AMPA CASTILLA","CARNAVAL EN LA AULAS","72.48"
"AMPA DAOIZ Y VELARDE","PLAN LECTOR","240"
"AMPA DAOIZ Y VELARDE","CONCIERTO MUSICA DIVERTIDA","640"
"AMPA DAOIZ Y VELARDE","FIESTA FIN DE CURSO","760"
"AMPA DAOIZ Y VELARDE","GRADUACIONES INFANTIL Y SEXTO","240"
"AMPA DAOIZ Y VELARDE","AGENDAS","348"
"AMPA DAOIZ Y VELARDE","EXPOSICION FOTOGRAFICA","198.4"
"AMPA DAOIZ Y VELARDE","NAVIDAD","605.62"
"AMPA EMILIO CASADO","DIA DE LA MUSICA","241.8"
"AMPA EMILIO CASADO","SALIDA CULTURAL AL TEATRO","160"
"AMPA EMILIO CASADO","FIESTA FIN DE CURSO","800"
"AMPA EMILIO CASADO","GRADUACION  CICLO INFANTIL","280"
"AMPA EMILIO CASADO","ASOCIACION FAPA GINER DE LOS RIOS","152"
"AMPA EMILIO CASADO","ASOCIACION FAPA ALCOBENDAS","64"
"AMPA EMILIO CASADO","FIESTA NAVIDAD","688"
"AMPA EMILIO CASADO","NAVIDAD EN LAS AULAS","470.45"
"AMPA FEDERICO GARCIA LORCA","CURSO TECNICAS DE ESTUDIO","1747.6"
"AMPA FEDERICO GARCIA LORCA","GRADUACIONES ORLA 3º INF Y 6º PRIM","405"
"AMPA FEDERICO GARCIA LORCA","REVISTA PERICOLE","396.05"
"AMPA GABRIEL Y GALAN","EXCURSIONES","1674.65"
"AMPA GABRIEL Y GALAN","FIESTA FIN DE CURSO","400"
"AMPA GABRIEL Y GALAN","PERIODICO ""EL REMOLINO""","160"
"AMPA GABRIEL Y GALAN","CARNAVAL","314"
"AMPA LUIS BUÑUEL","CONCURSO FELICITACIONES DE NAVIDAD","91.74"
"AMPA LUIS BUÑUEL","MERCADILLO NAVIDEÑO","90"
"AMPA LUIS BUÑUEL","EXCURSIONES SOCIOS","400"
"AMPA LUIS BUÑUEL","GRADUACION","350"
"AMPA LUIS BUÑUEL","FIESTA FIN DE CURSO","250"
"AMPA LUIS BUÑUEL","PARTICIPACION FAPA ALCOBENDAS Y FAPA GINER DE LOS RIOS","227"
"AMPA LUIS BUÑUEL","AGENDA ESCOLAR","243"
"AMPA LUIS BUÑUEL","MOCHILAS DE BIENVENIDA","50"
"AMPA LUIS BUÑUEL","FIESTA NAVIDAD","598"
"AMPA LUIS BUÑUEL","SAN ISIDRO","171"
"AMPA LUIS BUÑUEL","FIESTA DE HALLOWEEN","90"
"AMPA LUIS BUÑUEL","CASTAÑADA","90"
"AMPA LUIS BUÑUEL","EVENTOS DEPORTIVOS","117.62"
"AMPA MIGUEL HERNANDEZ","CERTAMEN LITERARIO Y DE DIBUJO","281.71"
"AMPA MIGUEL HERNANDEZ","SEMANA CULTURAL","260"
"AMPA MIGUEL HERNANDEZ","EXCURSION MUSEO FERROCARRIL","160"
"AMPA MIGUEL HERNANDEZ","EXCURSION CERCANIAS RENFE","380"
"AMPA MIGUEL HERNANDEZ","CONCURSO DE TARJETAS NAVIDEÑAS","126.71"
"AMPA MIGUEL HERNANDEZ","FESTIVAL FIN CURSO","229"
"AMPA MIGUEL HERNANDEZ","ENTREGA DE ORLAS 3º INFANTIL","229"
"AMPA MIGUEL HERNANDEZ","GRADUACION Y ENTREGA ORLAS 6º PRIMARIA","94"
"AMPA MIGUEL HERNANDEZ","PARTICIPACION EN FEDERACIONES","64"
"AMPA MIGUEL HERNANDEZ","VISITA REYES MAGOS","520"
"AMPA MIGUEL HERNANDEZ","FIESTA NAVIDAD","380"
"AMPA MIRAFLORES","SALIDA CULTURAL RIO DURATON","869.65"
"AMPA MIRAFLORES","FIESTA FIN DE CURSO","844"
"AMPA MIRAFLORES","REVISTA DE BIENVENIDA","72"
"AMPA MIRAFLORES","FIESTA DE NAVIDAD","850.88"
"AMPA PARQUE CATALUÑA","CONCURSO DE TARJETAS NAVIDEÑAS","249.44"
"AMPA PARQUE CATALUÑA","FUTBOL","296"
"AMPA PARQUE CATALUÑA","GRADUACIÓN","160"
"AMPA PARQUE CATALUÑA","FIESTA FIN DE CURSO","1096"
"AMPA PARQUE CATALUÑA","PARTICIPACIÓN FAPA","64"
"AMPA PARQUE CATALUÑA","NAVIDAD","419.56"
"AMPA PROFESOR TIERNO GALVÁN","GRADUACION 6º PRIM","181.05"
"AMPA PROFESOR TIERNO GALVÁN","FIESTA FIN DE CURSO","344.76"
"AMPA PROFESOR TIERNO GALVÁN","FAPA","64"
"AMPA PROFESOR TIERNO GALVÁN","CARNAVAL EN LA AULAS","360"
"AMPA PROFESOR TIERNO GALVÁN","DIA DEL LIBRO","160"
"AMPA PROFESOR TIERNO GALVÁN","DIA SAN ISIDRO","120"
"AMPA PROFESOR TIERNO GALVÁN","DIA DE LA CASTAÑA","40"
"AMPA PROFESOR TIERNO GALVÁN","CONCURSO DE CHRISTMAS","200"
"AMPA PROFESOR TIERNO GALVÁN","FIESTA DE NAVIDAD","200"
"AMPA SEIS DE DICIEMBRE","EXCURSION A MI BURRO","400.36"
"AMPA SEIS DE DICIEMBRE","NAVIDAD","296"
"AMPA SEIS DE DICIEMBRE","CUENTACUENTOS AMBIENTALES","280"
"AMPA SEIS DE DICIEMBRE","TALLER EDUCACION FISICA Y DEPORTES","152"
"AMPA SEIS DE DICIEMBRE","FIN DE CURSO","240"
"AMPA SEIS DE DICIEMBRE","FESTIVAL FIN DE CURSO","200"
"AMPA SEIS DE DICIEMBRE","AGENDA ESCOLAR","1200"
"AMPA VALDEPALITOS","VISITA TEATRALIZADA A SEPULVEDA","373.03"
"AMPA VALDEPALITOS","SALIDAS CULTURALES EN FAMILIA","430"
"AMPA VALDEPALITOS","TALLER TECNICAS DE ESTUDIO","608"
"AMPA VALDEPALITOS","TALLER EXTRAESCOLAR FUTBOL SALA","240"
"AMPA VALDEPALITOS","FIESTA FIN DE CURSO","640"
"AMPA VALDEPALITOS","FESTIVAL DANZA Y TEATRO FIN DE CURSO","264"
"AMPA VALDEPALITOS","CEREMONIA GRADUACION 6º PRIMARIA","104"
"AMPA VALDEPALITOS","ORLA PARA 6º PRIMARIA","96"
"AMPA VALDEPALITOS","BOLETIN APA","328"
"AMPA VALDEPALITOS","PARTICIPACION FAPA ALCOBENDAS","64"
"AMPA VALDEPALITOS","PARTICIPACION FESTIVAL FAPA","80"
"AMPA VALDEPALITOS","PARTICIPACION FAPA GINER DE LOS RIOS","152"
"AMPA VALDEPALITOS","FIESTA DE NAVIDAD","200"
"AMPA VALDEPALITOS","TORNEO MULTIDEPORTE","120"
"AMPA VALDEPALITOS","SEMANA CULTURAL","80"
"AMPA LA CHOPERA","SEMANA DEL LIBRO","1396.21"
"AMPA LA CHOPERA","FIESTA GRADUACION","248"
"AMPA LA CHOPERA","PARTICIPACION FAPA ALCOBENDAS","64"
"AMPA LA CHOPERA","FIESTA SAN ISIDRO","104"
"AMPA EL CUQUILLO","SEMANA DEL LIBRO","526.15"
"AMPA EL CUQUILLO","DIA DE LA INFANCIA","60"
"AMPA EL CUQUILLO","FIESTA FIN DE CURSO","280"
"AMPA EL CUQUILLO","FIESTA NAVIDAD","360"
"AMPA EL CUQUILLO","VERBENA SAN ISIDRO","180"
"AMPA VALDELAPARRA","SEMANA DEL LIBRO Y FERIA DEL LIBRO","689.51"
"AMPA VALDELAPARRA","EL HUERTO","73"
"AMPA VALDELAPARRA","FIESTA GRADUACION","668"
"AMPA VALDELAPARRA","FERIA ASOCIACIONES","87"
